,Verb,Signature
0,abhor,fact_p
1,accept,fact_p
2,acknowledge,fact_p
3,acknowledge,fact_p
4,admit,fact_p
5,affect,fact_n
6,amaze,fact_p
7,amuse,fact_p
8,annoy,fact_p
9,appreciate,fact_p
10,astonish,fact_p
11,astound,fact_p
12,baffle,fact_p
13,bewilder,fact_p
14,bore,fact_p
15,bother,fact_p
16,care,fact_p
17,care,fact_p
18,cease,fact_p
19,comprehend,fact_p
20,confess,fact_p*
21,confess,fact_p*
22,confuse,fact_p
23,continue,fact_p
24,delight,fact_p
25,deplore,fact_p
26,depress,fact_p
27,detest,fact_p
28,disappoint,fact_p
29,disclose,fact_p*
30,disclose,fact_p*
31,disconcert,fact_p
32,discourage,fact_p
33,discover,fact_p
34,disenchant,fact_p
35,disgust,fact_p
36,distress,fact_p
37,dumbfound,fact_p
38,embarrass,fact_p
39,enchant,fact_p
40,encourage,fact_p
41,envy,fact_p
42,excite,fact_p
43,find,fact_p
44,flabbergast,fact_p
45,foresee,fact_p
46,forget,fact_p
47,frighten,fact_p
48,hate,fact_p
49,hate,fact_p
50,horrify,fact_p
51,identify,fact_p
52,impress,fact_p
53,know,fact_p
54,know,fact_p
55,lament,fact_p
56,learn,fact_p
57,like,fact_p
58,like,fact_p
59,loathe,fact_p
60,love,fact_p
61,love,fact_p
62,matter,fact_p
63,mind,fact_p
64,miss,fact_p
65,mystify,fact_p
66,note,fact_p
67,notice,fact_p
68,observe,fact_p
69,outrage,fact_p
70,own,fact_p
71,perceive,fact_p*
72,perplex,fact_p
73,pity,fact_p
74,please,fact_p
75,pretend,fact_n
76,pretend,fact_n
77,puzzle,fact_p
78,realize,fact_p
79,recall,fact_p*
80,recognize,fact_p
81,recognize,fact_p
82,recollect,fact_p*
83,reflect,fact_p
84,register,fact_p
85,regret,fact_p
86,regret,fact_p
87,rejoice,fact_p
88,remember,fact_p
89,remind,fact_p
90,respect,fact_p
91,reveal,fact_p
92,reveal,fact_p
93,satisfy,fact_p
94,see,fact_p
95,see,fact_p
96,startle,fact_p
97,stress,fact_p
98,stupefy,fact_p
99,surprise,fact_p
100,tolerate,fact_p
101,touch,fact_p
102,treasure,fact_p
103,understand,fact_p
104,unnerve,fact_p
105,upset,fact_p
106,watch,fact_p
107,wonder,fact_p
