,Verb,Signature
0,add,np*
1,admit,pp
2,allow,pp|nn
3,allow,pp|nn
4,appoint,pp*
5,arrange,pp
6,ascertain,pp*
7,attempt,nn
8,bear,pp|nn
9,begin,pp|nn
10,bother,pp|nn
11,bring,pp
12,care,nn*
13,cause,pp
14,come,pp|nn
15,compel,pp*
16,compel,pp*
17,compete,nn
18,concede,pp*
19,condemn,pp*|nn*
20,condescend,pp|nn
21,confess,pp*
22,confirm,pp
23,consent,pp*|nn*
24,convince,pp*|nn*
25,dare,pp|nn
26,decline,pn
27,deign,pp|nn
28,demonstrate,pp
29,determine,pp*
30,discover,pp
31,drive,pp
32,drive,pp
33,enable,pp|nn
34,ensure,pp
35,establish,pp*
36,explain,np
37,explain,np
38,fail,pn|np
39,forbid,pn*
40,force,pp
41,force,pp
42,forget,pn|np
43,get,pp|nn
44,get,pp|nn
45,go,pp|nn
46,grant,pp
47,grant,pp
48,grow,pp|nn
49,guess,np
50,hasten,pp
51,have,pp|nn
52,have,pp*
53,help,pp
54,help,pp
55,help,pp
56,help,pp
57,hesitate,np
58,induce,pp*
59,influence,pp*
60,inspire,pp*
61,jump,pp
62,know,pp|nn
63,lead,pp
64,lead,pp
65,learn,pp*|nn*
66,let,pp|nn
67,live,pp|nn
68,make,pp
69,make,pp
70,manage,pp|nn
71,mean,np
72,neglect,pn|np
73,observe,pp
74,opt,pp*
75,permit,nn
76,permit,nn
77,permit,nn*
78,persuade,pp*|nn*
79,predict,np
80,provoke,pp
81,provoke,pp
82,qualify,nn
83,read,np*
84,reconfirm,pp*
85,refrain,pn|np
86,refuse,pn
87,relearn,pp*|nn*
88,remain,pn
89,remember,pp|nn
90,reveal,pp
91,rope,pp
92,serve,pp|nn
93,show,pp
94,show,pp
95,show,pp
96,specify,np
97,start,pp|nn
98,start,pp|nn
99,stay,pp|nn
100,suspect,np
101,tell,np*
102,tend,pp
103,think,nn
104,trouble,pp|nn
105,trouble,pp|nn
106,turn,pp|nn
107,use,pp
108,use,pp|nn
109,verify,pp
110,wake,pp|nn
111,warn,np*
112,warn,np*
113,warrant,pp*
