,Verb,Signature
0,ensure,+/o
1,prove,o/o
2,notice,+/+
3,plan,o/o
4,attempt,o/-
5,move,o/o
6,help,+/o
7,write,o/o
8,decide,o/o
9,announce,o/o
10,get,+/-
11,promise,o/o
12,learn,+/-
13,turn,o/o
14,hear,o/o
15,contend,o/o
16,want,o/o
17,demand,o/o
18,proceed,o/o
19,report,o/o
20,like,o/o
21,feel,o/o
22,give,o/o
23,tend,+/o
24,demonstrate,+/o
25,happen,o/o
26,wait,o/o
27,learn,+/+
28,know,+/+
29,reply,o/o
30,discover,+/+
31,worry,o/o
32,reveal,+/+
33,intend,o/o
34,explain,o/+
35,assume,o/o
36,note,+/+
37,mean,o/o
38,convince,o/o
39,exist,o/o
40,strive,o/o
41,determine,+/o
42,fear,o/o
43,prepare,o/o
44,appear,o/o
45,propose,o/o
46,threaten,o/o
47,saw,o/o
48,suggest,o/o
49,imply,o/o
50,start,+/-
51,understand,+/+
52,request,o/o
53,begin,+/-
54,doubt,o/o
55,deserve,o/o
56,decline,-/o
57,mention,o/o
58,indicate,o/o
59,tell,o/o
60,work,o/o
61,believe,o/o
62,manage,+/-
63,observe,+/+
64,comment,o/o
65,love,o/o
66,say,o/o
67,recommend,o/o
68,need,o/o
69,see,+/+
70,add,o/+
71,complain,o/o
72,conclude,o/o
73,state,o/o
74,estimate,o/o
75,wish,o/o
76,seek,o/o
77,think,o/o
78,admit,+/+
79,struggle,o/o
80,confirm,+/o
81,prefer,o/o
82,forget,-/+
83,remain,-/o
84,assert,o/o
85,insist,o/o
86,pretend,o/o
87,acknowledge,+/+
88,warn,o/+
89,remember,+/+
90,serve,+/-
91,felt,o/o
92,continue,o/o
93,ask,o/o
94,hope,o/o
95,use,+/-
96,find,+/+
97,concern,o/o
98,aim,o/o
99,fail,-/+
100,dare,+/-
101,seem,o/o
102,hold,o/o
103,argue,o/o
104,suspect,o/+
105,return,o/o
106,realize,+/+
107,declare,o/o
108,choose,o/o
109,agree,o/o
110,require,o/o
111,show,+/o
112,claim,o/o
113,cease,o/o
114,predict,o/+
115,advise,o/o
116,provide,o/o
117,mean,o/+
118,try,o/o
119,come,+/-
120,be,o/o
121,recognize,+/+
122,have,+/o
123,speculate,o/o
124,expect,o/o
125,refuse,-/o
